Date,Open,High,Low,Close,Volume,Adj Close,,,Ticker,spy
25/11/2016,221.100006,221.559998,221.009995,221.520004,37872300,220.221996,,,Start date,01/01/2016
23/11/2016,219.979996,220.759995,219.75,220.699997,56620200,219.406793,,,End Date,11/25/2016
22/11/2016,220.509995,220.789993,219.729996,220.580002,67429000,219.287501,,,,
21/11/2016,219.169998,220.179993,219,220.149994,72402600,218.860013,,,,
18/11/2016,219.070007,219.270004,218.289993,218.5,86265800,217.219687,,,,
17/11/2016,218.050003,219.059998,217.919998,218.990005,69797200,217.706822,,,,
16/11/2016,217.559998,218.139999,217.419998,217.869995,65617700,216.593374,,,,
15/11/2016,217.039993,218.279999,216.800003,218.279999,91652600,217.000975,,,,
14/11/2016,217.029999,217.270004,215.720001,216.589996,94580000,215.320876,,,,
11/11/2016,216.080002,216.699997,215.320007,216.419998,100552700,215.151874,,,,
10/11/2016,217.300003,218.309998,215.220001,216.919998,172113300,215.648944,,,,
09/11/2016,212.369995,217.100006,212.339996,216.380005,258429000,215.112115,,,,
08/11/2016,212.690002,214.770004,212.380005,214.110001,106772100,212.855412,,,,
07/11/2016,208.550003,213.190002,208.550003,213.149994,109794900,211.90103,,,,
04/11/2016,208.910004,209.889999,208.380005,208.550003,109122100,207.327993,,,,
03/11/2016,209.990005,210.240005,208.460007,208.779999,88939300,207.556641,,,,
02/11/2016,210.649994,211.100006,209.229996,209.740005,103330800,208.511023,,,,
01/11/2016,212.929993,212.990005,209.600006,211.009995,122781800,209.77357,,,,
31/10/2016,212.929993,213.190002,212.360001,212.550003,61272500,211.304555,,,,
28/10/2016,213.139999,213.929993,211.710007,212.539993,140623200,211.294604,,,,
27/10/2016,214.580002,214.619995,213.080002,213.169998,77220200,211.920917,,,,
26/10/2016,213.210007,214.419998,212.929993,213.740005,75705500,212.487584,,,,
25/10/2016,214.679993,214.979996,213.979996,214.169998,66542300,212.915058,,,,
24/10/2016,215,215.320007,214.479996,214.889999,60146600,213.63084,,,,
21/10/2016,213.880005,214.080002,212.759995,213.979996,89089100,212.726168,,,,
20/10/2016,213.869995,214.529999,213.110001,213.880005,73639800,212.626763,,,,
19/10/2016,214.020004,214.639999,213.600006,214.279999,66519200,213.024414,,,,
18/10/2016,214.240005,214.309998,213.270004,213.710007,76869700,212.457761,,,,
17/10/2016,213.089996,213.389999,212.169998,212.380005,58275700,211.135553,,,,
14/10/2016,214.149994,214.690002,213.029999,213.119995,93346200,211.871207,,,,
13/10/2016,212.160004,213.589996,211.210007,213.009995,101357000,211.761851,,,,
12/10/2016,213.589996,214.320007,213.009995,213.710007,73866100,212.457761,,,,
11/10/2016,215.660004,215.740005,212.580002,213.429993,130367400,212.179388,,,,
10/10/2016,216.160004,216.699997,215.990005,216.160004,51855000,214.893402,,,,
07/10/2016,216.100006,216.300003,214.190002,215.039993,89788300,213.779955,,,,
06/10/2016,215.369995,216.039993,214.740005,215.779999,62927400,214.515624,,,,
05/10/2016,215.410004,216.130005,215.330002,215.630005,72816000,214.366509,,,,
04/10/2016,215.910004,216.169998,213.990005,214.679993,119948100,213.422064,,,,
03/10/2016,215.820007,216.039993,215.039993,215.779999,83512100,214.515624,,,,
30/09/2016,215.649994,217.119995,215.360001,216.300003,117202900,215.032582,,,,
29/09/2016,216.399994,216.869995,214.039993,214.679993,128070600,213.422064,,,,
28/09/2016,215.830002,216.820007,214.710007,216.639999,87411000,215.370586,,,,
27/09/2016,214.050003,215.679993,213.619995,215.570007,78494800,214.306863,,,,
26/09/2016,215.020004,215.229996,214.009995,214.240005,89827300,212.984655,,,,
23/09/2016,216.720001,216.880005,215.880005,215.990005,73630900,214.7244,,,,
22/09/2016,217,217.529999,216.710007,217.179993,76678700,215.907415,,,,
21/09/2016,214.240005,216.029999,213.440002,215.820007,110284400,214.555398,,,,
20/09/2016,214.410004,214.589996,213.380005,213.419998,69665300,212.169452,,,,
19/09/2016,214.130005,214.880005,213.029999,213.410004,80250500,212.159516,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
